# Generated at 2024-10-15 11:16:11 (04:00) by AQUARIUS Time-Series 24.1.177.0,,,,,
# UTC-05,,,,,
# Period Selected: Entire Record,,,,,
#,,,,,
# Comment: ,,,,,
# Description: ,,,,,
# ReportTitle: LCCD Little Conestoga Sonde Data May 2023 - July 2024,,,,,
#,,,,,
# CSV data starts at line 12,,,,,
#,,,,,
TimeStamp,Dissolved Oxygen (mg/l),Water Temperature (C),Specific Conductivity (uS/cm),pH,Total Dissolved Solids (mg/l)
5/4/2023 13:34,10.05,10.714,751.6,8.06,489
5/4/2023 13:49,10.16,10.756,751.1,8.07,488
5/4/2023 14:04,10.29,10.84,750.5,8.08,488
5/4/2023 14:19,10.42,10.967,749.9,8.09,487
5/4/2023 14:34,10.53,11.005,749.9,8.1,487
5/4/2023 14:49,10.63,11.09,750.4,8.1,488
5/4/2023 15:04,10.75,11.3,750.6,8.11,488
5/4/2023 15:19,10.83,11.375,751.2,8.11,488
5/4/2023 15:34,10.89,11.413,750.8,8.12,488
5/4/2023 15:49,10.95,11.42,750.3,8.12,488
5/4/2023 16:04,11,11.417,749.2,8.13,487
5/4/2023 16:19,11.06,11.413,748.9,8.13,487
5/4/2023 16:34,11.11,11.422,748,8.14,486
5/4/2023 16:49,11.16,11.473,748.7,8.14,487
5/4/2023 17:04,11.23,11.508,747.2,8.15,486
5/4/2023 17:19,11.28,11.544,746.8,8.15,485
5/4/2023 17:34,11.31,11.573,746.5,8.16,485
5/4/2023 17:49,11.36,11.644,745.9,8.16,485
5/4/2023 18:04,11.43,11.828,746.3,8.17,485
5/4/2023 18:19,11.52,12.043,746.4,8.17,485
5/4/2023 18:34,11.59,12.253,746.8,8.18,485
5/4/2023 18:49,11.62,12.358,747.4,8.18,486
5/4/2023 19:04,11.66,12.462,747.5,8.19,486
5/4/2023 19:19,11.66,12.522,747,8.19,486
5/4/2023 19:34,11.66,12.596,747.2,8.2,486
5/4/2023 19:49,11.68,12.77,747.5,8.2,486
5/4/2023 20:04,11.7,12.937,747.5,8.2,486
5/4/2023 20:19,11.68,12.956,747.3,8.2,486
5/4/2023 20:34,11.67,13.033,746.6,8.21,485
5/4/2023 20:49,11.65,13.138,746.1,8.21,485
5/4/2023 21:04,11.63,13.234,746,8.21,485
5/4/2023 21:19,11.58,13.332,745.6,8.21,485
5/4/2023 21:34,11.5,13.424,745.7,8.21,485
5/4/2023 21:49,11.4,13.501,745.1,8.21,484
5/4/2023 22:04,11.29,13.548,744.8,8.21,484
5/4/2023 22:19,11.16,13.589,743.4,8.21,483
5/4/2023 22:34,11.03,13.62,742.2,8.21,482
5/4/2023 22:49,10.89,13.634,743.1,8.2,483
5/4/2023 23:04,10.74,13.639,742.8,8.19,483
5/4/2023 23:19,10.55,13.635,742.2,8.19,482
5/4/2023 23:34,10.37,13.62,741.9,8.18,482
5/4/2023 23:49,10.18,13.605,742.2,8.17,482
5/5/2023 0:04,10,13.611,742.2,8.15,482
5/5/2023 0:19,9.83,13.623,742.2,8.14,482
5/5/2023 0:34,9.69,13.641,742.6,8.13,483
5/5/2023 0:49,9.56,13.665,743.1,8.12,483
5/5/2023 1:04,9.45,13.683,744.2,8.11,484
5/5/2023 1:19,9.35,13.701,744.5,8.11,484
5/5/2023 1:34,9.27,13.702,745.3,8.1,484
5/5/2023 1:49,9.19,13.703,745.4,8.09,485
5/5/2023 2:04,9.11,13.698,746.2,8.09,485
5/5/2023 2:19,9.04,13.694,747,8.08,486
5/5/2023 2:34,8.98,13.694,747.1,8.07,486
5/5/2023 2:49,8.93,13.696,746.4,8.07,485
5/5/2023 3:04,8.87,13.696,746.2,8.06,485
5/5/2023 3:19,8.83,13.7,745.1,8.06,484
5/5/2023 3:34,8.77,13.701,745.1,8.05,484
5/5/2023 3:49,8.73,13.699,745.2,8.05,484
